EndNodes_1,EndNodes_2,Weight,index,ncoord,L,diam,kN,isshunt,belongroot,cycles,subnetwork
36,79,1,75,41,0.0500915186131073,0.001,1.63325670597311e-07,0,none,0,none
37,38,1,76,2,0.0034142135623731,0.00182842707633972,2.67817246658655e-05,0,none,0,none
37,80,1,77,37,0.0435930918196297,0.001,1.87672645532324e-07,0,none,0,none
38,40,1,78,1,0.00282842712474619,0.00182842707633972,3.23284014560372e-05,0,none,0,none
38,41,1,79,7,0.0108994949366117,0.001,7.50606419499537e-07,0,none,0,none
39,82,1,80,29,0.0339493829893763,0.001,2.40983197582223e-07,0,none,0,none
39,82,1,81,35,0.040142135623731,0.001,2.03806567378714e-07,0,none,0,none
40,83,1,82,29,0.0356062372388687,0.001,2.29769599461989e-07,0,none,0,none
40,83,1,83,47,0.0560915186131073,0.001,1.45855043168891e-07,0,none,0,none
41,42,1,84,21,0.0244852813742386,0.001,3.34128521689404e-07,0,none,0,none
41,84,1,85,25,0.0293137084989848,0.001,2.79092318496882e-07,0,none,0,none
42,43,1,86,6,0.00947870866461908,0.001,8.63116607778154e-07,0,none,0,none
42,85,1,87,37,0.0436062372388687,0.001,1.87616070240315e-07,0,none,0,none
43,86,1,88,33,0.0387778101141225,0.001,2.10977124408165e-07,0,none,0,none
43,86,1,89,35,0.0424215189443759,0.001,1.92855679671698e-07,0,none,0,none
44,45,1,90,6,0.00906449510224599,0.001,9.02557812259867e-07,0,none,0,none
45,47,1,91,24,0.0293137084989848,0.00182842707633972,3.11930943780473e-06,0,none,0,none
46,47,1,92,4,0.0064142135623731,0.00182842707633972,1.42556100898066e-05,0,none,0,none
46,65,NaN,93,34,0.0438634849754693,0.00270405945490201,9.97195844415669e-06,0,none,NaN,none
48,63,1,94,18,0.0227279220613578,0.001,3.59963873804073e-07,0,none,0,none
49,51,1,95,17,0.0233782036012307,0.001,3.49951219874427e-07,0,none,0,none
50,54,1,96,5,0.00765685424949235,0.001,1.06848460244177e-06,0,none,0,none
51,55,1,97,8,0.0110710678118655,0.001,7.3897396418755e-07,0,none,0,none
52,56,1,98,6,0.00924264068711929,0.001,8.85161627036409e-07,0,none,0,none
53,55,1,99,10,0.0126568542494924,0.001,6.46387380896919e-07,0,none,0,none
53,61,1,100,9,0.0124852813742385,0.00182842707633972,7.32370579702027e-06,0,none,0,none
54,64,1,101,10,0.0130710678118654,0.00889897966384888,0.00392526008261943,0,none,0,none
56,60,1,102,16,0.0208994949366116,0.001,3.91455912859961e-07,0,none,0,none
57,58,1,103,9,0.0124852813742385,0.00182842707633972,7.32370579702027e-06,0,none,0,none
57,60,1,104,1,0.00282842712474619,0.00182842707633972,3.23284014560372e-05,0,none,0,none
58,62,NaN,105,11,0.0175497764764846,0.00277732531443876,2.7736654029878e-05,0,none,NaN,none
59,61,1,106,7,0.0117213493517384,0.00182842707633972,7.80102399766618e-06,0,none,0,none
59,67,1,107,25,0.0309639900388576,0.00465685415267944,0.000124260264987956,0,none,0,none
62,66,1,108,7,0.0104852813742386,0.00465685415267944,0.000366951869958022,0,none,0,none
63,64,1,109,28,0.0314852813742386,0.00621110248565674,0.000386710399044129,0,none,0,none
63,66,1,110,16,0.0190710678118655,0.00592820310592651,0.000529829256995506,0,none,0,none
64,65,1,111,4,0.0068284271247462,0.009,0.00786082281454962,0,none,0,none
64,69,1,112,4,0.00706449510224599,0.009,0.00759814465900458,0,none,0,none
65,68,1,113,4,0.00706449510224599,0.00889897966384888,0.00726270454951767,0,none,0,none
67,68,1,114,5,0.0150990195135928,0.00592820310592651,0.000669209658267887,0,none,0,none
67,72,1,115,20,0.0265563491861041,0.001,3.08070616611878e-07,0,none,0,none
69,70,1,116,5,0.0140990195135927,0.009,0.00380714812671512,0,none,0,none
69,71,1,117,4,0.00665028153987289,0.009,0.00807139598645027,0,none,0,none
70,71,1,118,4,0.00807106781186545,0.009,0.00665055194441342,0,none,0,none
